Kód,Název,Cena bez DPH,Cena s DPH,Poznamka
19389,MANDARINKOVO-LEVANDULOVÝ MYCÍ BALZÁM - 500 ml,866.12,1 048.00
1938,MANDARINKOVO-LEVANDULOVÝ MYCÍ BALZÁM - vzorek 13 ml,51.24,62.00
89001,KATALOG EONÉ PRO ŽENY V OBDOBÍ TĚHOTENSTVÍ,6.61,8.00,Ano
89010,plakát Eoné Kapka A4,30.00,36.30
89011,plakát Eoné Kapka A3,30.00,36.30
89013,plakát Eoné květy A3,30.00,36.30
89014,plakát Eoné květy A4,30.00,36.30
89015,plakát Eoné s výrobky A4,30.00,36.30
19417,NEUTRÁLNÍ OLEJ koupelový & sprchový - 100 ml,200.83,243.00
19418,NEUTRÁLNÍ OLEJ koupelový & sprchový - 200 ml,313.22,379.00
19419,NEUTRÁLNÍ OLEJ koupelový & sprchový - 500 ml,628.93,761.00
19410,NEUTRÁLNÍ OLEJ koupelový & sprchový - 1000 ml,1 054.55,1 276.00
1941,NEUTRÁLNÍ OLEJ koupelový & sprchový - vzorek 13 ml,38.84,47.00
40003,OLIBANUM - granulovaná pryskyřice - 7 g,40.50,49.00
14902,"RAVENSARA AROMATICA, PSP - 5 ml",123.97,150.00
14903,"RAVENSARA AROMATICA, PSP - 10 ml",225.62,273.00
14901,"RAVENSARA AROMATICA, PSP - vzorek 2 ml",85.95,104.00
19347,IMUNA - KOUPELOVÝ OLEJ - 100 ml,233.06,282.00
19348,IMUNA - KOUPELOVÝ OLEJ - 200 ml,380.17,460.00
1934,IMUNA - KOUPELOVÝ OLEJ - vzorek 13 ml,45.45,54.99
19157,MASÁŽNÍ OLEJ ZÁKLADNÍ - 100 ml,171.90,208.00
19158,MASÁŽNÍ OLEJ ZÁKLADNÍ - 200 ml,276.03,334.00
19159,MASÁŽNÍ OLEJ ZÁKLADNÍ - 500 ml,514.88,623.00
19150,MASÁŽNÍ OLEJ ZÁKLADNÍ - 1000 ml,930.58,1 126.00
50061,"JASMÍN IM-PULS OLEJ, 99% PSP - 8 ml",247.93,300.00
19175,TŘEZALKOVÝ OLEJ - 30 ml,66.94,81.00
19177,TŘEZALKOVÝ OLEJ - 100 ml,153.72,186.00
19179,TŘEZALKOVÝ OLEJ - 500 ml,641.32,776.00
40027,"Láhev PET se sprejem, bílá, 100ml",23.97,29.00
70009,MUŠLIČKA + VÁNOCE,324.79,393.00
70010,MUŠLIČKA + LEMONIA,317.36,384.00
40125,ŘEDÍCÍ LAHVIČKA SE SPREJEM,25.62,31.00
40025,Láhev PET se sprejem čirá 30ml,21.49,26.00,Ano
40035,LÁHEV PET S UZÁVĚREM BÍLÁ 30ml,14.88,18.00
40036,LÁHEV PET S UZÁVĚREM BÍLÁ 50ml,15.70,19.00
40037,LÁHEV PET S UZÁVĚREM BÍLÁ 100ml,20.66,25.00
40038,LÁHEV PET S ODKLÁPĚCÍM UZ. ČIRÁ  200ml,23.14,28.00
40047,LÉKOVKA SKLENĚNÁ HNĚDÁ 100ml - 1 ks,18.18,22.00
40047-68,LÉKOVKA SKLENĚNÁ HNĚDÁ 100ml - balení 68 ks,1 075.21,1 301.00
40050,UZÁVĚR NA LÉKOVKY BÍLÝ (PRO ÉTERICKÉ OLEJE),6.61,8.00,Ano
40062,DÓZA PLASTOVÁ BÍLÁ - 5 ml,14.88,18.00
40065,DÓZA PLASTOVÁ BÍLÁ - 30 ml,18.18,22.00
40066,DÓZA PLASTOVÁ BÍLÁ - 50 ml,19.83,24.00
40067,DÓZA PLASTOVÁ BÍLÁ - 100 ml,28.10,34.00
89021,KABELKA EONÉ,7.44,9.00
16652,ZÁZVOR (ODDENEK) - 5 ml,143.80,174.00
16651,ZÁZVOR (ODDENEK) - vzorek 2 ml,70.25,85.00
70020,AROMA-ANDÍLEK,85.95,104.00
13403,LITSEA CUBEBA - 10 ml,95.04,115.00
13401,LITSEA CUBEBA - vzorek 2 ml,49.59,60.00
11852,DOBROMYSL OBECNÁ (OREGANO) - 5 ml,83.47,101.00
11853,DOBROMYSL OBECNÁ (OREGANO) - 10 ml,142.98,173.00
13913,MÁTA KADEŘAVÁ - 10 ml,85.12,103.00,Ano
13911,MÁTA KADEŘAVÁ - vzorek 2 ml,40.50,49.00,Ano
13203,LAVANDIN GROSSO - 10 ml,84.30,102.00
13204,LAVANDIN GROSSO - 20 ml,150.41,182.00
13209,LAVANDIN GROSSO - vzorek 2 ml,46.28,56.00
19836,KAROTENOL 8 - 50 ml,300.00,363.00
19837,KAROTENOL 8 - 100 ml,558.68,676.00
19277,LIA intenzivní péče o vlasy (kondicionér) - 100 ml,177.69,215.00
40004,BENZOIN  pryskyřice styraxu - 7 g,66.12,80.00
19327,FEMME BALANCE koupelový a sprchový olej - 100 ml,367.77,445.00
1932,FEMME BALANCE koupelový a sprchový olej - vzorek 13 ml,71.90,87.00
